,date,open,high,low,close,volume
2572,2022-06-01,16594.40,16649.20,16438.85,16522.75,249619040
2573,2022-06-02,16481.65,16646.40,16443.05,16628.00,235958288
2574,2022-06-03,16761.65,16793.85,16567.90,16584.30,245514864
2575,2022-06-06,16530.70,16610.95,16444.55,16569.55,233589136
2576,2022-06-07,16469.60,16487.25,16347.10,16416.35,233814640
2577,2022-06-08,16474.95,16514.30,16293.35,16356.25,243481040
2578,2022-06-09,16263.85,16492.80,16243.85,16478.10,204954400
2579,2022-06-10,16283.95,16324.70,16172.60,16201.80,189680528
2580,2022-06-13,15877.55,15886.15,15684.00,15774.40,225534384
2581,2022-06-14,15674.25,15858.00,15659.45,15732.10,225425856
2582,2022-06-15,15729.25,15783.65,15678.90,15692.15,183011232
2583,2022-06-16,15832.25,15863.15,15335.10,15360.60,264735952
2584,2022-06-17,15272.65,15400.40,15183.40,15293.50,342629984
2585,2022-06-20,15334.50,15382.50,15191.10,15350.15,260022432
2586,2022-06-21,15455.95,15707.25,15419.85,15638.80,262794688
2587,2022-06-22,15545.65,15565.40,15385.95,15413.30,220889584
2588,2022-06-23,15451.55,15628.45,15367.50,15556.65,259171808
2589,2022-06-24,15657.40,15749.25,15619.45,15699.25,219599376
2590,2022-06-27,15926.20,15927.45,15815.50,15832.05,210932512
2591,2022-06-28,15757.45,15892.10,15710.15,15850.20,251865152
2592,2022-06-29,15701.70,15861.60,15687.80,15799.10,444949536
2593,2022-06-30,15774.50,15890.00,15728.85,15780.25,306027776
2594,2022-07-01,15703.70,15793.95,15511.05,15752.05,364090144
2595,2022-07-04,15710.50,15852.35,15661.80,15835.35,304328480
2596,2022-07-05,15909.15,16025.75,15785.45,15810.85,254164464
2597,2022-07-06,15818.20,16011.35,15800.90,15989.80,288375296
2598,2022-07-07,16113.75,16150.50,16045.95,16132.90,264615216
2599,2022-07-08,16273.65,16275.50,16157.90,16220.60,281102368
2600,2022-07-11,16136.15,16248.55,16115.50,16216.00,255915072
2601,2022-07-12,16126.20,16158.75,16031.15,16058.30,208648704
2602,2022-07-13,16128.20,16140.00,15950.15,15966.65,233264096
2603,2022-07-14,16018.85,16070.85,15858.20,15938.65,228603440
2604,2022-07-15,16010.80,16066.95,15927.30,16049.20,205768080
2605,2022-07-18,16151.40,16287.95,16142.20,16278.50,227744848
2606,2022-07-19,16187.05,16359.50,16187.05,16340.55,222630928
2607,2022-07-20,16562.80,16588.00,16490.95,16520.85,284359584
2608,2022-07-21,16523.55,16626.95,16483.90,16605.25,243625344
2609,2022-07-22,16661.25,16752.25,16610.90,16719.45,190906784
2610,2022-07-25,16662.55,16706.05,16564.25,16631.00,211392176
2611,2022-07-26,16632.90,16636.10,16463.30,16483.85,208208128
2612,2022-07-27,16475.35,16653.45,16438.75,16641.80,232514080
2613,2022-07-28,16774.85,16947.65,16746.25,16929.60,376256320
2614,2022-07-29,17079.50,17172.80,17018.15,17158.25,436059712
